"topic","price_taste","Probability","taste","price_level"
1,"P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.161544839147587,"Chinese, Ethnic.Food, Fast.Food, Fruits...Veggies, Seafood, Specialty.Food","2"
1,"P1_Fast.Food, P1_Specialty.Food",0.0543098971382757,"Fast.Food, Specialty.Food","1"
1,"P2_American..Traditional., P2_Sandwiches",0.0533988101203546,"American..Traditional., Sandwiches","2"
1,"P2_American..New., P2_American..Traditional., P2_Cheesesteaks, P2_Salad, P2_Sandwiches",0.0389125265354094,"American..New., American..Traditional., Cheesesteaks, Salad, Sandwiches","2"
1,"P2_American..Traditional., P2_Cheesesteaks, P2_Italian, P2_Pizza, P2_Sandwiches",0.0386392004300331,"American..Traditional., Cheesesteaks, Italian, Pizza, Sandwiches","2"
1,"P2_American..Traditional., P2_Cheesesteaks, P2_Fast.Food, P2_Italian, P2_Sandwiches",0.0366348089906067,"American..Traditional., Cheesesteaks, Fast.Food, Italian, Sandwiches","2"
1,"P2_Cheesesteaks, P2_Sandwiches",0.0312593955848723,"Cheesesteaks, Sandwiches","2"
1,"P1_Sandwiches",0.030166091163367,"Sandwiches","1"
2,"P2_American..Traditional.",0.0329429678611451,"American..Traditional.","2"
2,"P2_American..New., P2_American..Traditional.",0.0306332817218282,"American..New., American..Traditional.","2"
2,"P2_German",0.0283235955825114,"German","2"
2,"P2_American..New., P2_American..Traditional.",0.0263560851675378,"American..New., American..Traditional.","2"
2,"P2_Belgian, P2_Fish...Chips",0.0261849973053662,"Belgian, Fish...Chips","2"
2,"P2_American..New., P2_French, P2_Italian, P2_Mexican",0.0199402903361021,"American..New., French, Italian, Mexican","2"
2,"P2_American..New.",0.0187426753009008,"American..New.","2"
2,"P2_American..New., P2_Sandwiches, P2_Seafood",0.0187426753009008,"American..New., Sandwiches, Seafood","2"
3,"P2_American..Traditional.",0.0329123582288843,"American..Traditional.","2"
3,"P2_American..Traditional., P2_Burgers, P2_Kosher, P2_Seafood, P2_Tapas.Small.Plates",0.0302100636628808,"American..Traditional., Burgers, Kosher, Seafood, Tapas.Small.Plates","2"
3,"P2_Middle.Eastern",0.0275077690968773,"Middle.Eastern","2"
3,"P2_Indian",0.0255207877983452,"Indian","2"
3,"P2_Cheesesteaks, P2_Sandwiches",0.0228184932323417,"Cheesesteaks, Sandwiches","2"
3,"P2_Chinese, P2_Noodles, P2_Szechuan, P2_Taiwanese",0.0224210969726353,"Chinese, Noodles, Szechuan, Taiwanese","2"
3,"P2_Mexican",0.0208315119338097,"Mexican","2"
3,"P2_American..New.",0.0208315119338097,"American..New.","2"
4,"P2_American..New.",0.0251525371366784,"American..New.","2"
4,"P2_Fast.Food, P2_Mexican",0.0241227505599465,"Fast.Food, Mexican","2"
4,"P2_Mexican",0.0204326819933235,"Mexican","2"
4,"P2_Mexican",0.0163135356863957,"Mexican","2"
4,"P2_Italian, P2_Pizza",0.0161419045902737,"Italian, Pizza","2"
