"topic","topic_name","price_taste","Probability"
1,"P2 European","P2_German",0.0672041368920377
1,"P2 European","P2_Belgian",0.0480669394735235
1,"P2 European","P2_American..New., P2_American..Traditional.",0.0474561778537837
1,"P2 European","P2_American..Traditional., P2_Tapas.Small.Plates",0.0446059569616645
1,"P2 European","P2_German",0.0405342128300658
2,"P2 Asian","P2_Asian.Fusion, P2_Chinese, P2_Dim.Sum, P2_Shanghainese",0.152815013404826
2,"P2 Asian","P2_Ethnic.Food, P2_Japanese, P2_Ramen, P2_Specialty.Food",0.109160359676386
2,"P2 Asian","P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.100144724667252
2,"P2 Asian","P2_Chinese, P2_Comfort.Food, P2_Ethnic.Food, P2_Noodles, P2_Specialty.Food",0.0733350731927211
2,"P2 Asian","P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0327647156516169
3,"P2 Italian & American","P2_Italian, P2_Pizza",0.0345812230421257
3,"P2 Italian & American","P2_Italian, P2_Pizza, P2_Salad, P2_Sandwiches",0.0336794962352906
3,"P2 Italian & American","P2_Burgers, P2_Hot.Dogs",0.0336794962352906
3,"P2 Italian & American","P2_American..New., P2_Comfort.Food",0.02826913539428
3,"P2 Italian & American","P2_Mexican",0.0254136671726356
4,"P2 LA & American","P2_American..New., P2_Caribbean, P2_Cuban, P2_Latin.American",0.0319287130518015
4,"P2 LA & American","P2_American..New.",0.0264591262335058
4,"P2 LA & American","P2_Cheesesteaks, P2_Sandwiches",0.0232685339228332
4,"P2 LA & American","P2_Seafood, P2_Soul.Food, P2_Southern",0.0207616399644477
4,"P2 LA & American","P2_Cheesesteaks, P2_Sandwiches",0.020305841062923
5,"P2 Cheesesteaks(American)","P2_Cheesesteaks, P2_Sandwiches",0.0474825941928407
5,"P2 Cheesesteaks(American)","P2_American..New., P2_Pizza",0.0351698045624482
5,"P2 Cheesesteaks(American)","P2_American..New., P2_American..Traditional.",0.0239763594439096
5,"P2 Cheesesteaks(American)","P2_Italian, P2_Pizza",0.0221854082249435
5,"P2 Cheesesteaks(American)","P2_American..Traditional.",0.0219615393225727
6,"P2-3 Expensive Mixed Cuisine","P3_Japanese, P3_Sushi.Bars",0.0401009482454675
6,"P2-3 Expensive Mixed Cuisine","P2_American..Traditional.",0.0360184824361187
6,"P2-3 Expensive Mixed Cuisine","P3_American..New.",0.0337916829037466
6,"P2-3 Expensive Mixed Cuisine","P2_American..New., P2_Pizza, P2_Sandwiches",0.0324927165098629
6,"P2-3 Expensive Mixed Cuisine","P3_Modern.European",0.0304514836051884
7,"P2-4 Expensive Mixed Cuisine","P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0581139130628325
7,"P2-4 Expensive Mixed Cuisine","P2_American..New., P2_Asian.Fusion, P2_Chinese, P2_Pan.Asian, P2_Tapas.Small.Plates, P2_Thai",0.0514367112555365
7,"P2-4 Expensive Mixed Cuisine","P2_American..New., P2_Sandwiches",0.0509915644683835
