"topic","price_taste","probability"
1,"P2_American..Traditional.",0.0578367789421632
1,"P3_Japanese, P3_Sushi.Bars",0.0412902489587098
1,"P2_American..New., P2_Burgers",0.030069038969931
1,"P2_American..New., P2_American..Traditional.",0.0236025789763974
1,"P2_American..New., P2_Pizza, P2_Sandwiches",0.0226516289773484
1,"P3_American..New.",0.0196085889803914
1,"P3_American..New.",0.0196085889803914
1,"P4_American..New., P4_Salad, P4_Seafood",0.0194183989805816
1,"P3_American..New., P3_French",0.0194183989805816
2,"P2_American..Traditional., P2_Southern",0.0644369374095134
2,"P2_American..New.",0.0507983801590466
2,"P2_American..New.",0.0461822530896578
2,"P2_Mexican",0.0455527812165593
2,"P2_American..New., P2_Sandwiches",0.0403071822740721
2,"P2_American..New.",0.0375794708239787
2,"P2_Barbeque, P2_Mexican, P2_Tex.Mex",0.0327535197968904
2,"P2_American..New., P2_Burgers",0.030445456262196
3,"P2_Cheesesteaks, P2_Sandwiches",0.0243858825633117
3,"P2_Southern",0.023938845302756
3,"P2_American..New., P2_Caribbean, P2_Cuban, P2_Latin.American",0.0234918080422003
3,"P2_Seafood, P2_Soul.Food, P2_Southern",0.0196919913274771
3,"P2_Salad, P2_Soul.Food, P2_Southern",0.018574398176088
3,"P2_Soul.Food",0.0176803236549766
3,"P2_American..New.",0.0167862491338653
3,"P2_Latin.American, P2_Peruvian, P2_Sandwiches",0.0167862491338653
4,"P2_Mexican",0.0318091065924907
4,"P2_Spanish, P2_Tapas.Small.Plates",0.0302583884161352
4,"P2_Asian.Fusion, P2_Chinese, P2_Dim.Sum",0.0273507918354688
4,"P2_Barbeque, P2_Mexican",0.0238616759386691
4,"P2_Salad, P2_Sandwiches",0.0238616759386691
4,"P2_Mexican",0.0205663998139138
4,"P2_Barbeque, P2_Sandwiches",0.0182403225493807
4,"P2_American..New., P2_Comfort.Food",0.0166896043730253
5,"P2_Sandwiches",0.0473954149416054
5,"P2_American..New., P2_American..Traditional.",0.0364786092401491
5,"P1_Italian, P1_Sandwiches",0.0313291725885188
5,"P1_Mexican",0.0309172176563884
5,"P2_Italian, P2_Sandwiches, P2_Specialty.Food",0.0274156007332798
5,"P1_Italian, P1_Mexican, P1_Specialty.Food",0.0255618035386929
5,"P2_Italian",0.0235020288780407
5,"P2_Specialty.Food",0.0232960514119755
6,"P2_Mexican",0.0418931199771913
6,"P1_Sandwiches",0.0379728790605677
6,"P2_Greek",0.0365473369090682
6,"P2_Asian.Fusion, P2_Japanese, P2_Sushi.Bars",0.0313797466098826
6,"P2_Comfort.Food",0.021757337087261
6,"P2_American..New., P2_Seafood",0.0197972166289492
6,"P2_American..New., P2_French",0.0192626383221369
6,"P2_American..New., P2_Salad, P2_Sandwiches, P2_Specialty.Food",0.018906252784262
7,"P2_Asian.Fusion, P2_Chinese, P2_Dim.Sum, P2_Shanghainese",0.109512354144653
7,"P2_Chinese, P2_Comfort.Food, P2_Ethnic.Food, P2_Noodles, P2_Specialty.Food",0.0892780862879111
7,"P2_Ethnic.Food, P2_Japanese, P2_Ramen, P2_Specialty.Food",0.074889273589784
7,"P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0461116481935295
7,"P2_American..New., P2_Sandwiches",0.0420647946221812
7,"P1_Sandwiches, P1_Soul.Food",0.0404910182333236
7,"P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.0310483599001776
7,"P2_American..New., P2_Asian.Fusion, P2_Chinese, P2_Pan.Asian, P2_Tapas.Small.Plates, P2_Thai",0.0288001079160952
8,"P3_American..New., P3_Lebanese, P3_Middle.Eastern, P3_Specialty.Food",0.0513229088234779
8,"P2_American..New., P2_American..Traditional.",0.0345129489222364
8,"P2_American..Traditional.",0.0327619114325238
8,"P3_Thai",0.024356931481903
8,"P2_Salad, P2_Sandwiches",0.0231312052391042
